"Title: Population Distribution by Age | KFF"
"Timeframe: 2009"
"Location","Total",Footnotes
"United States","297997800","1"
"Alabama","4569100"
"Alaska","668900"
"Arizona","6457900"
"Arkansas","2796100"
"California","36094800"
"Colorado","4891000"
"Connecticut","3403200"
"Delaware","855500"
"District of Columbia","567800"
"Florida","18067300"
"Georgia","9484800"
"Hawaii","1223500"
"Idaho","1507700"
"Illinois","12558400"
"Indiana","6221900"
"Iowa","2902600"
"Kansas","2716000"
"Kentucky","4173500"
"Louisiana","4352400"
"Maine","1273900"
"Maryland","5525700"
"Massachusetts","6358100"
"Michigan","9724300"
"Minnesota","5128900"
"Mississippi","2836300"
"Missouri","5805900"
"Montana","942700"
"Nebraska","1731300"
"Nevada","2596300"
"New Hampshire","1282900"
"New Jersey","8519200"
"New Mexico","1958500"
"New York","18990400"
"North Carolina","9026700"
"North Dakota","615400"
"Ohio","11207100"
"Oklahoma","3544100"
"Oregon","3743600"
"Pennsylvania","12153500"
"Rhode Island","1011800"
"South Carolina","4393700"
"South Dakota","781400"
"Tennessee","6116600"
"Texas","24096900"
"Utah","2733400"
"Vermont","599600"
"Virginia","7512800"
"Washington","6486600"
"West Virginia","1768900"
"Wisconsin","5492700"
"Wyoming","526300"
"Puerto Rico","3922300"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Age (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-age-cps/). "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
