"Title: Population Distribution by Age | KFF"
"Timeframe: 2010"
"Location","Total",Footnotes
"United States","300806200","1"
"Alabama","4651400"
"Alaska","684600"
"Arizona","6256900"
"Arkansas","2834000"
"California","36515700"
"Colorado","4916200"
"Connecticut","3463700"
"Delaware","871700"
"District of Columbia","570200"
"Florida","18398800"
"Georgia","9414700"
"Hawaii","1301600"
"Idaho","1538900"
"Illinois","12536400"
"Indiana","6289300"
"Iowa","2948200"
"Kansas","2761000"
"Kentucky","4207100"
"Louisiana","4400400"
"Maine","1290600"
"Maryland","5622200"
"Massachusetts","6328400"
"Michigan","9657600"
"Minnesota","5187500"
"Mississippi","2867200"
"Missouri","5802000"
"Montana","962800"
"Nebraska","1771000"
"Nevada","2657600"
"New Hampshire","1276000"
"New Jersey","8620400"
"New Mexico","2018000"
"New York","18860000"
"North Carolina","9241100"
"North Dakota","647200"
"Ohio","11215700"
"Oklahoma","3635500"
"Oregon","3764000"
"Pennsylvania","12293700"
"Rhode Island","1009200"
"South Carolina","4476500"
"South Dakota","787000"
"Tennessee","6186200"
"Texas","24584400"
"Utah","2724100"
"Vermont","599500"
"Virginia","7703800"
"Washington","6575900"
"West Virginia","1799000"
"Wisconsin","5533400"
"Wyoming","548400"
"Puerto Rico","3684000"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Age (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-age-cps/). "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
