"Title: Population Distribution by Age | KFF"
"Timeframe: 2008"
"Location","Total",Footnotes
"United States","295269800","1"
"Alabama","4526900"
"Alaska","654700"
"Arizona","6363000"
"Arkansas","2769700"
"California","35882000"
"Colorado","4816700"
"Connecticut","3383800"
"Delaware","844200"
"District of Columbia","558900"
"Florida","17874300"
"Georgia","9376400"
"Hawaii","1229000"
"Idaho","1484300"
"Illinois","12556000"
"Indiana","6172900"
"Iowa","2894000"
"Kansas","2701400"
"Kentucky","4143600"
"Louisiana","4273800"
"Maine","1274100"
"Maryland","5470000"
"Massachusetts","6265100"
"Michigan","9764400"
"Minnesota","5084500"
"Mississippi","2826800"
"Missouri","5728200"
"Montana","938500"
"Nebraska","1721000"
"Nevada","2556800"
"New Hampshire","1275300"
"New Jersey","8494600"
"New Mexico","1934000"
"New York","18944000"
"North Carolina","8886300"
"North Dakota","610300"
"Ohio","11157500"
"Oklahoma","3508800"
"Oregon","3711900"
"Pennsylvania","12002700"
"Rhode Island","1009400"
"South Carolina","4318400"
"South Dakota","769900"
"Tennessee","6045200"
"Texas","23643000"
"Utah","2686800"
"Vermont","599100"
"Virginia","7418400"
"Washington","6370500"
"West Virginia","1765200"
"Wisconsin","5467500"
"Wyoming","516100"
"Puerto Rico","3902000"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Age (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-age-cps/). "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
