"Title: Population Distribution by Age | KFF"
"Timeframe: 2014"
"Location","Total",Footnotes
"United States","310212200","1"
"Alabama","4714100"
"Alaska","706600"
"Arizona","6556200"
"Arkansas","2880000"
"California","37981600"
"Colorado","5217000"
"Connecticut","3480400"
"Delaware","905300"
"District of Columbia","623500"
"Florida","19431100"
"Georgia","9792900"
"Hawaii","1348100"
"Idaho","1598800"
"Illinois","12569400"
"Indiana","6386700"
"Iowa","3002100"
"Kansas","2810700"
"Kentucky","4268800"
"Louisiana","4508500"
"Maine","1293800"
"Maryland","5819300"
"Massachusetts","6506500"
"Michigan","9682700"
"Minnesota","5330400"
"Mississippi","2886800"
"Missouri","5870200"
"Montana","993700"
"Nebraska","1823700"
"Nevada","2795200"
"New Hampshire","1286500"
"New Jersey","8756200"
"New Mexico","2036700"
"New York","19216400"
"North Carolina","9632900"
"North Dakota","708400"
"Ohio","11270300"
"Oklahoma","3749500"
"Oregon","3889600"
"Pennsylvania","12368000"
"Rhode Island","1013700"
"South Carolina","4674300"
"South Dakota","821600"
"Tennessee","6374800"
"Texas","26280100"
"Utah","2891800"
"Vermont","6.00E+05"
"Virginia","8006000"
"Washington","6887600"
"West Virginia","1791600"
"Wisconsin","5603600"
"Wyoming","568500"
"Puerto Rico","3514000"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Age (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-age-cps/). "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
