"Title: Population Distribution by Age | KFF"
"Timeframe: 2011"
"Location","Total",Footnotes
"United States","303080600","1"
"Alabama","4676000"
"Alaska","697100"
"Arizona","6324500"
"Arkansas","2849500"
"California","36862800"
"Colorado","4983900"
"Connecticut","3466400"
"Delaware","880100"
"District of Columbia","583900"
"Florida","18614200"
"Georgia","9517400"
"Hawaii","1311900"
"Idaho","1547300"
"Illinois","12553800"
"Indiana","6317100"
"Iowa","2963800"
"Kansas","2772200"
"Kentucky","4227900"
"Louisiana","4431200"
"Maine","1292200"
"Maryland","5668600"
"Massachusetts","6360600"
"Michigan","9655100"
"Minnesota","5222300"
"Mississippi","2878500"
"Missouri","5823500"
"Montana","971600"
"Nebraska","1782300"
"Nevada","2675800"
"New Hampshire","1278200"
"New Jersey","8638700"
"New Mexico","2036500"
"New York","18940500"
"North Carolina","9353100"
"North Dakota","657100"
"Ohio","11224600"
"Oklahoma","3664800"
"Oregon","3793500"
"Pennsylvania","12318300"
"Rhode Island","1007400"
"South Carolina","4519500"
"South Dakota","791400"
"Tennessee","6230500"
"Texas","25006100"
"Utah","2767500"
"Vermont","599800"
"Virginia","7783700"
"Washington","6654400"
"West Virginia","1802200"
"Wisconsin","5549900"
"Wyoming","551600"
"Puerto Rico","3671700"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Age (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-age-cps/). "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
