"Title: Population Distribution by Age | KFF"
"Timeframe: 2018"
"Location","Total",Footnotes
"United States","318498500","1"
"Alabama","4752600"
"Alaska","709100"
"Arizona","7004300"
"Arkansas","2921300"
"California","38745900"
"Colorado","5555200"
"Connecticut","3466300"
"Delaware","937700"
"District of Columbia","667900"
"Florida","20843500"
"Georgia","10212800"
"Hawaii","1354800"
"Idaho","1719600"
"Illinois","12438400"
"Indiana","6487100"
"Iowa","3056800"
"Kansas","2814700"
"Kentucky","4320300"
"Louisiana","4519300"
"Maine","1299500"
"Maryland","5870800"
"Massachusetts","6659900"
"Michigan","9770000"
"Minnesota","5489000"
"Mississippi","2879400"
"Missouri","5934500"
"Montana","1034000"
"Nebraska","1868900"
"Nevada","2983400"
"New Hampshire","1310300"
"New Jersey","8728300"
"New Mexico","2045300"
"New York","19016900"
"North Carolina","10044400"
"North Dakota","730600"
"Ohio","11355900"
"Oklahoma","3816100"
"Oregon","4110800"
"Pennsylvania","12388100"
"Rhode Island","1014000"
"South Carolina","4929800"
"South Dakota","848700"
"Tennessee","6586400"
"Texas","28024000"
"Utah","3105900"
"Vermont","600600"
"Virginia","8182100"
"Washington","7368000"
"West Virginia","1752300"
"Wisconsin","5662800"
"Wyoming","560300"
"Puerto Rico","3164400"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Age (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-age-cps/). "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
