"Title: Population Distribution by Age | KFF"
"Timeframe: 2015"
"Location","Total",Footnotes
"United States","312777900","1"
"Alabama","4730100"
"Alaska","707500"
"Arizona","6655100"
"Arkansas","2882300"
"California","38325100"
"Colorado","5315400"
"Connecticut","3478100"
"Delaware","918300"
"District of Columbia","634800"
"Florida","19812500"
"Georgia","9909700"
"Hawaii","1362600"
"Idaho","1617200"
"Illinois","12549700"
"Indiana","6415100"
"Iowa","3019800"
"Kansas","2816600"
"Kentucky","4283400"
"Louisiana","4530300"
"Maine","1292600"
"Maryland","5838300"
"Massachusetts","6555600"
"Michigan","9693800"
"Minnesota","5365600"
"Mississippi","2889300"
"Missouri","5890900"
"Montana","1005900"
"Nebraska","1838400"
"Nevada","2842700"
"New Hampshire","1287600"
"New Jersey","8776300"
"New Mexico","2035300"
"New York","19269200"
"North Carolina","9733700"
"North Dakota","726400"
"Ohio","11293300"
"Oklahoma","3783700"
"Oregon","3948700"
"Pennsylvania","12386400"
"Rhode Island","1014400"
"South Carolina","4734000"
"South Dakota","829000"
"Tennessee","6422800"
"Texas","26777500"
"Utah","2945200"
"Vermont","602400"
"Virginia","8051200"
"Washington","7002800"
"West Virginia","1791500"
"Wisconsin","5620900"
"Wyoming","568900"
"Puerto Rico","3443200"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Age (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-age-cps/). "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
