"Title: Population Distribution by Age | KFF"
"Timeframe: 2012"
"Location","Total",Footnotes
"United States","305376600","1"
"Alabama","4696000"
"Alaska","706200"
"Arizona","6386300"
"Arkansas","2860200"
"California","37221500"
"Colorado","5045900"
"Connecticut","3479300"
"Delaware","888000"
"District of Columbia","596000"
"Florida","18876900"
"Georgia","9616400"
"Hawaii","1330300"
"Idaho","1562500"
"Illinois","12567900"
"Indiana","6338800"
"Iowa","2976000"
"Kansas","2787500"
"Kentucky","4235100"
"Louisiana","4457000"
"Maine","1292600"
"Maryland","5722700"
"Massachusetts","6410600"
"Michigan","9659300"
"Minnesota","5256300"
"Mississippi","2884500"
"Missouri","5830600"
"Montana","978700"
"Nebraska","1795100"
"Nevada","2710900"
"New Hampshire","1280100"
"New Jersey","8685500"
"New Mexico","2039200"
"New York","19040100"
"North Carolina","9439200"
"North Dakota","671900"
"Ohio","11222100"
"Oklahoma","3689500"
"Oregon","3825500"
"Pennsylvania","12347600"
"Rhode Island","1007900"
"South Carolina","4569100"
"South Dakota","800400"
"Tennessee","6277400"
"Texas","25384300"
"Utah","2801700"
"Vermont","600700"
"Virginia","7865500"
"Washington","6732900"
"West Virginia","1801800"
"Wisconsin","5566100"
"Wyoming","559000"
"Puerto Rico","3634000"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Age (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-age-cps/). "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
